cm_id,first_name,last_name,age,is_minor,date_of_birth,height,weight,ssn,medicare_num,phone,address,city,province,postal_code,fm_id
1,Charles,Sullivan,24,0,2001-07-28,180.16,42.4,212-63-9750,HKI89498,(928)453-3744x4842,4718 Ortiz Gateway,Lake Jennifertown,ON,P2R8R7,14
2,Tanner,Shaw,25,0,1999-05-29,186.37,54.42,703-39-9103,bJb29535,717.557.7204,09405 Pruitt Tunnel,Lake Robert,BC,K4K6X4,13
3,Lisa,Buckley,13,1,2000-10-04,190.85,73.31,078-58-9967,bao91220,+1-546-200-8014x6325,29112 Brandon Valleys,West William,BC,C5I3B7,26
4,Melinda,Mcmillan,30,0,2010-09-10,188.24,99.4,760-58-5598,ktX36596,+1-191-548-0011x78986,06062 Kelley Causeway Suite 897,Oliviaton,BC,R5N5A3,10
5,Vincent,Peters,17,1,1999-06-28,150.38,79.56,494-83-8209,kdI94518,426-373-5040x13561,715 Chris Springs Suite 239,North Jasmineburgh,MB,R8J9R6,9
6,Julie,Stephenson,28,0,2004-02-25,198.66,115.11,329-80-5404,vzk36749,334-147-2308,253 Lang Lodge Suite 049,Jillbury,BC,Y3P9Y5,29
7,Christopher,Pacheco,17,1,2002-04-04,150.49,60.36,458-01-6131,GDm26664,8935929230,24030 Smith Pine,West Shawnville,MB,C8N6H4,18
8,Nicholas,Mcclure,31,0,1992-07-18,193.05,112.61,289-44-5998,nNJ46653,770.765.0008x64923,91067 Mary Forges,Ellisshire,ON,M2I1M7,14
9,Christopher,Hogan,30,0,2008-05-29,146.03,115.83,674-77-8133,VuG47396,158.725.4331x0229,2736 Hill Ports,Robertsonville,QC,P1A3N3,22
10,Elizabeth,Mcgee,28,0,1993-08-26,158.23,89.25,769-60-1311,Nrx15542,976-127-3814x97154,3398 Fields Fords,Davidsonberg,BC,M9C1T2,19
11,Reginald,Stein,30,0,2012-09-15,162.68,99.73,819-40-6984,eJY68914,001-460-396-3524x8794,934 Lynn Prairie Apt. 665,Port Amandastad,AB,B5I7R4,18
12,Christy,Miller,35,0,1986-04-14,148.55,113.41,771-91-5408,FFf79157,275.676.6361x939,445 Baldwin Roads Suite 608,Saundersfort,MB,H9M6A9,19
13,Carl,Chen,15,1,1991-12-04,177.74,86.77,023-33-1991,QdG54903,482.795.1784,4894 Glover Mews,New Brandonbury,ON,P5L3C7,18
14,Steven,Castro,17,1,2008-01-01,165.65,47.35,014-67-0927,KUl67322,001-925-169-1177x4750,44250 Donald Union,Moralesborough,MB,B7H6I1,11
15,Jenna,Munoz,39,0,2004-04-13,189.43,95.05,159-58-7161,bFp39137,586-670-4720,886 West Field Apt. 648,North Deborah,AB,S7T4Q8,20
16,Robert,Schmidt,38,0,1991-12-23,177.47,40.64,247-92-8179,Rfv92972,4031178053,243 Kayla Forks Suite 908,Jacksonview,MB,M5Y6C1,1
17,Brian,Butler,26,0,1997-05-11,141.45,50.91,164-92-3422,RPl82126,285-657-0775,45357 Eugene Shores,Dylanchester,MB,M6M4D8,18
18,Audrey,Curtis,31,0,1998-05-04,161.34,95.83,375-27-3265,VvB20622,-3333,305 Albert Throughway,South Micheleview,MB,X8N2G9,12
19,Jessica,Richardson,33,0,1988-06-15,191.15,92.17,357-44-6352,Vip32196,001-190-018-7720x1324,5458 Carroll Squares,North Anne,QC,R8B7L1,13
20,Christopher,Jenkins,32,0,2003-05-12,183.16,49.65,657-18-5959,Krc60742,180-339-7679,0937 Mckay Fork Apt. 925,Mendozamouth,QC,L6I2A2,23
21,Anna,Bates,13,1,2000-06-12,158.03,75.95,673-52-4682,cAD96792,166.450.4881,01259 Stephanie Tunnel,East Kelly,BC,K6N4P6,8
22,Nicholas,Hester,39,0,1995-03-08,158.39,46.04,569-07-6965,Irr19248,3032534081,429 Salazar Loop,Justinside,QC,P9I3I8,23
23,Brett,Porter,17,1,1994-06-28,152.23,48.05,359-25-7562,aFm10495,+1-107-290-6730x87786,65894 Judith Mountain,Mitchellchester,QC,J4L6I2,6
24,Michelle,Stanley,16,1,1996-01-18,161.3,72.11,532-19-1924,iXZ59968,001-692-536-0186x6895,6911 Little Port Suite 928,Blackwellton,QC,T1R1B3,19
25,Daniel,Green,36,0,1989-08-13,186.47,62.72,648-35-0030,NjR20247,6095133948,2149 Christopher Well,Hoopermouth,QC,H7A2I4,25
26,Rhonda,Freeman,29,0,1996-03-09,153.66,98.6,400-30-3417,URJ60690,001-135-428-9014x90217,49882 Joshua Village Apt. 390,West Sharonchester,QC,B3V3I5,15
27,Brian,Leblanc,20,0,2012-09-09,189.35,104.88,876-66-7425,TpE09333,714-886-8048,708 Zachary Mountains,Lesliemouth,BC,B1Y1J7,28
28,Lauren,Green,23,0,2004-11-25,169.23,57.15,042-21-2023,VtY58561,113-217-4647x942,71447 Joseph Centers,Port Brent,AB,M8Q3Z4,7
29,Susan,Williams,40,0,2000-05-08,165.2,48.5,425-39-5287,XON24882,(295)394-7962x3666,096 Brian Via,North Peterborough,ON,E6W3O3,13
30,Sherry,Reyes,35,0,2006-04-04,198.18,109.42,513-78-2950,Wad57403,356-222-7637,012 Mcdaniel Bypass,Millerside,MB,S2K9U7,17
