cm_id,first_name,last_name,age,is_minor,date_of_birth,height,weight,ssn,medicare_num,phone,address,city,province,postal_code,fm_id
1,Alice,Smith,16,1,2009-07-21,145.1,50.8,757-67-8134,CM0001,348-785-5356,784 Cedar St,Calgary,BC,G8Y 2Z6,2
2,Bob,Johnson,29,0,1996-07-24,195.2,43.6,327-56-8437,CM0002,422-329-5011,422 Cedar St,Calgary,BC,O4G 8G2,NULL
3,Carol,Williams,24,0,2001-07-23,143.2,77.7,115-12-7004,CM0003,478-606-3364,698 Cedar St,Calgary,QC,Z1A 2A6,NULL
4,David,Brown,23,0,2002-07-23,193.2,65.9,550-47-7331,CM0004,617-109-4429,332 Cedar St,Winnipeg,MB,B7S 3T5,NULL
5,Eva,Jones,21,0,2004-07-22,195.3,90.7,269-67-9283,CM0005,341-616-9424,735 Cedar St,Montreal,AB,W6N 7B6,NULL
6,Frank,Garcia,26,0,1999-07-24,140.8,62.1,165-97-7408,CM0006,638-694-8292,580 Cedar St,Winnipeg,BC,R9P 8Q8,NULL
7,Grace,Miller,11,1,2014-07-20,162.8,96,925-55-2315,CM0007,335-865-9554,874 Cedar St,Vancouver,BC,S8O 3X7,4
8,Henry,Davis,15,1,2010-07-21,154.3,82.4,577-25-1651,CM0008,790-363-5874,494 Cedar St,Calgary,MB,A2D 9Y3,4
9,Isla,Rodriguez,15,1,2010-07-21,149.3,71.8,757-64-1644,CM0009,189-440-5305,692 Cedar St,Calgary,AB,U6J 8V2,6
10,Jack,Martinez,26,0,1999-07-24,170.3,68.3,543-40-9093,CM0010,967-426-6286,741 Cedar St,Toronto,AB,N1B 3X1,NULL
