fm_id,first_name,last_name,date_of_birth,ssn,medicare_num,phone,address,city,province,postal_code,email,location_id,relationship
1,Alice,Smith,1982-08-20,635-21-4185,FAM0001,865-829-1957,349 Oak Ave,Winnipeg,QC,X2P 8G4,fam1@example.com,5,father
2,Bob,Johnson,1963-06-02,418-44-4310,FAM0002,922-226-8489,214 Oak Ave,Winnipeg,MB,Q2I 8C4,fam2@example.com,2,grandmother
3,Carol,Williams,1981-10-20,152-14-2191,FAM0003,261-409-9394,590 Oak Ave,Calgary,MB,E6C 9I6,fam3@example.com,1,grandmother
4,David,Brown,1985-05-15,824-96-1586,FAM0004,894-582-9462,602 Oak Ave,Montreal,BC,D7D 2Z3,fam4@example.com,2,partner
5,Eva,Jones,1968-07-12,208-47-1843,FAM0005,768-914-3186,976 Oak Ave,Toronto,MB,Z7N 4L8,fam5@example.com,2,grandmother
6,Frank,Garcia,1960-08-09,945-53-4887,FAM0006,222-328-5771,557 Oak Ave,Calgary,MB,F4T 4X3,fam6@example.com,6,partner
7,Grace,Miller,1973-04-04,525-50-1600,FAM0007,460-231-8782,282 Oak Ave,Montreal,MB,U7F 2V5,fam7@example.com,9,partner
8,Henry,Davis,1984-03-03,267-26-6973,FAM0008,216-722-7845,613 Oak Ave,Montreal,BC,A7H 6Y9,fam8@example.com,1,friend
9,Isla,Rodriguez,1981-05-17,127-95-1363,FAM0009,809-150-6594,250 Oak Ave,Toronto,BC,D9R 4W1,fam9@example.com,6,father
10,Jack,Martinez,1970-07-26,355-45-4438,FAM0010,879-948-5421,108 Oak Ave,Toronto,BC,N3Q 4V4,fam10@example.com,8,friend
