employee_id,first_name,last_name,date_of_birth,ssn,medicare_num,phone,address,city,province,postal_code,email,role,mandate,location_id
1,Alice,Smith,1986-11-28,249-85-6001,MED0001,191-463-9717,985 Main St,Toronto,ON,S6M 2H4,alice.smith@email.com,captain,salaried,9
2,Bob,Johnson,1972-09-04,312-16-1637,MED0002,531-433-1164,553 Main St,Winnipeg,MB,P1H 4I4,bob.johnson@email.com,captain,volunteer,2
3,Carol,Williams,1975-10-09,693-67-9457,MED0003,591-822-1360,843 Main St,Vancouver,BC,R2C 6T3,carol.williams@email.com,captain,volunteer,7
4,David,Brown,1977-11-26,722-48-7274,MED0004,371-834-5131,463 Main St,Toronto,ON,C1Z 1X5,david.brown@email.com,other,volunteer,3
5,Eva,Jones,1991-07-15,452-18-2878,MED0005,802-160-8405,880 Main St,Winnipeg,BC,P8O 8Q7,eva.jones@email.com,other,salaried,4
6,Frank,Garcia,1988-11-24,219-87-6541,MED0006,809-417-9001,295 Main St,Vancouver,QC,Q7X 9F4,frank.garcia@email.com,assistant coach,volunteer,1
7,Grace,Miller,1990-09-27,652-70-4082,MED0007,140-428-8341,221 Main St,Toronto,BC,D6W 8H6,grace.miller@email.com,captain,salaried,7
8,Henry,Davis,1987-09-28,453-32-2425,MED0008,832-946-4132,615 Main St,Calgary,ON,U4O 1A1,henry.davis@email.com,captain,salaried,1
9,Isla,Rodriguez,1984-01-02,253-95-7570,MED0009,704-132-2115,688 Main St,Winnipeg,BC,X5V 6O6,isla.rodriguez@email.com,assistant coach,salaried,10
10,Jack,Martinez,1972-07-25,536-21-7792,MED0010,745-805-2492,884 Main St,Calgary,QC,O9O 9Y5,jack.martinez@email.com,coach,salaried,9
